EVENT_VALUE,TAG_ID,EVENT_TIME
0.0,1503800,2020-03-16
0.0,1503801,2020-03-16
0.011000000000000001,1503802,2020-03-16
0.377,1503803,2020-03-16
34.086,1503804,2020-03-16
34.229,1503805,2020-03-16
0.531,1503806,2020-03-16
0.172,1503807,2020-03-16
0.0,1503808,2020-03-16
0.0,1503809,2020-03-16
0.0,1503810,2020-03-16
0.0,1503811,2020-03-16
0.0,1503812,2020-03-16
0.0,1503813,2020-03-16
0.0,1503814,2020-03-16
0.0,1503815,2020-03-16
0.0,1503816,2020-03-16
0.0,1503817,2020-03-16
0.0,1503818,2020-03-16
0.0,1503819,2020-03-16
0.0,1503820,2020-03-16
0.0,1503821,2020-03-16
0.0,1503822,2020-03-16
64.661,1503823,2020-03-16
86.738,1503824,2020-03-16
0.055999999999999994,1503825,2020-03-16
0.0,1503826,2020-03-16
0.0,1503827,2020-03-16
0.0,1503828,2020-03-16
0.0,1503829,2020-03-16
0.0,1503830,2020-03-16
0.0,1503831,2020-03-16
0.0,1503832,2020-03-16
0.0,1503833,2020-03-16
19.7,1503834,2020-03-16
2.5,1503835,2020-03-16
8.3,1503836,2020-03-16
0.0,1503837,2020-03-16
0.0,1503838,2020-03-16
65.298,1503839,2020-03-16
63.213,1503840,2020-03-16
0.0,1503841,2020-03-16
0.0,1503842,2020-03-16
0.0,1503843,2020-03-16
0.0,1503844,2020-03-16
7.905,1503845,2020-03-16
10.937999999999999,1503846,2020-03-16
0.0,1503847,2020-03-16
0.0,1503848,2020-03-16
0.0,1503849,2020-03-16
0.0,1503850,2020-03-16
26.5,1503851,2020-03-16
15.4,1503852,2020-03-16
15.001,1503853,2020-03-16
28.8,1503854,2020-03-16
32.782,1503855,2020-03-16
0.0,1503856,2020-03-16
0.0,1503857,2020-03-16
0.0,1503858,2020-03-16
0.0,1503859,2020-03-16
0.0,1503860,2020-03-16
2.0,1503861,2020-03-16
2.0,1503862,2020-03-16
2.2640000000000002,1503863,2020-03-16
4.626,1503864,2020-03-16
44.835,1503865,2020-03-16
41.424,1503866,2020-03-16
0.0,1503867,2020-03-16
0.0,1503868,2020-03-16
3.1,1503869,2020-03-16
4.537,1503870,2020-03-16
0.0,1503871,2020-03-16
0.17300000000000001,1503872,2020-03-16
0.1,1503873,2020-03-16
2.335,1503874,2020-03-16
0.0,1503875,2020-03-16
0.0,1503876,2020-03-16
0.036000000000000004,1503877,2020-03-16
1.0,1503878,2020-03-16
2.693,1503879,2020-03-16
6.3,1503880,2020-03-16
6.189,1503881,2020-03-16
0.9,1503882,2020-03-16
0.951,1503883,2020-03-16
3.9,1503884,2020-03-16
14.4,1503885,2020-03-16
14.34,1503886,2020-03-16
0.1,1503887,2020-03-16
4.371,1503888,2020-03-16
0.0,1503889,2020-03-16
0.0,1503890,2020-03-16
0.0,1503891,2020-03-16
0.0,1503892,2020-03-16
3.0,1503893,2020-03-16
3.352,1503894,2020-03-16
0.0,1503895,2020-03-16
0.0,1503896,2020-03-16
0.7,1503897,2020-03-16
0.401,1503898,2020-03-16
0.0,1503899,2020-03-16
0.0,1503900,2020-03-16
3.7,1503901,2020-03-16
5.334,1503902,2020-03-16
0.0,1503903,2020-03-16
0.0,1503904,2020-03-16
0.0,1503905,2020-03-16
0.0,1503906,2020-03-16
0.0,1503907,2020-03-16
17.858,1503908,2020-03-16
21.93,1503909,2020-03-16
17.8,1503910,2020-03-16
18.963,1503911,2020-03-16
0.0,1503912,2020-03-16
197.998,1503913,2020-03-16
199.541,1503914,2020-03-16
5.454,1503915,2020-03-16
6.994,1503916,2020-03-16
0.0,1503917,2020-03-16
0.0,1503918,2020-03-16
15.509,1503919,2020-03-16
19.694000000000003,1503920,2020-03-16
0.0,1503921,2020-03-16
2.7,1503922,2020-03-16
4.596,1503923,2020-03-16
12.232000000000001,1503924,2020-03-16
18.685,1503925,2020-03-16
141.815,1503926,2020-03-16
146.643,1503927,2020-03-16
0.0,1503928,2020-03-16
