EVENT_TIME,FG_flow,Q_SL
2020-01-01 08:00:00,356.36147916666664,332.74546236433486
2020-01-01 08:30:00,355.93963472222225,331.60006351435464
2020-01-01 09:00:00,355.2819183333333,334.8678587275801
2020-01-01 09:30:00,362.76720666666665,337.1480224274635
2020-01-01 10:00:00,358.57026083333335,330.9342488529888
2020-01-01 10:30:00,357.46313000000004,324.8373839705785
2020-01-01 11:00:00,361.40787944444446,319.2590249021643
2020-01-01 11:30:00,366.01531472222223,316.47607677618333
2020-01-01 12:00:00,369.3427277777778,313.4657431490226
2020-01-01 12:30:00,377.4772983333333,314.8984824979211
2020-01-01 13:00:00,386.8192030555556,327.1189712082313
2020-01-01 13:30:00,392.4819175,336.3119307034801
2020-01-01 14:00:00,387.858115,343.00720583833987
2020-01-01 14:30:00,384.29856249999995,344.4926185045509
2020-01-01 15:00:00,379.50055249999997,339.08948226777767
2020-01-01 15:30:00,371.8247080555555,336.34101241937566
2020-01-01 16:00:00,368.90852416666667,333.2540568672029
2020-01-01 16:30:00,363.79598583333336,328.0855702518859
2020-01-01 17:00:00,354.0518216666667,323.3957940592607
2020-01-01 17:30:00,352.068699047619,319.5882908061936
2020-01-01 18:00:00,345.5505541666667,317.6710406870684
2020-01-01 18:30:00,345.8166075,323.03388088756395
2020-01-01 19:00:00,341.22407999999996,320.1678012138196
2020-01-01 19:30:00,336.4013591666666,319.99250661506886
2020-01-01 20:00:00,335.6950527777778,317.0929419399185
2020-01-01 20:30:00,340.14413777777776,324.6946467685752
2020-01-01 21:00:00,342.8621066666667,326.2200216004427
2020-01-01 21:30:00,350.3297233333333,335.4495157855559
2020-01-01 22:00:00,351.62944,334.6804534040812
2020-01-01 22:30:00,352.00765333333334,335.56255994744004
2020-01-01 23:00:00,348.07959916666664,330.57871381729154
2020-01-01 23:30:00,345.50291833333335,328.74227439287296
2020-01-02 00:00:00,349.0533041666667,331.79337065824353
2020-01-02 00:30:00,345.51869166666665,326.3218705266778
2020-01-02 01:00:00,344.07982999999996,325.1101001816511
2020-01-02 01:30:00,344.64862999999997,326.9530926201879
2020-01-02 02:00:00,346.57049916666665,328.24059120857925
2020-01-02 02:30:00,343.4954383333333,326.91630964059834
2020-01-02 03:00:00,339.2852066666667,327.9454422494431
2020-01-02 03:30:00,338.63802333333336,326.72162051481524
2020-01-02 04:00:00,338.2623475,328.7716975021524
2020-01-02 04:30:00,338.6809808333333,329.43353274675
2020-01-02 05:00:00,344.66285555555555,335.0789013447432
2020-01-02 05:30:00,346.7351541666667,334.6481429152349
2020-01-02 06:00:00,346.2321297222222,331.6053087773201
2020-01-02 06:30:00,341.03793666666667,329.864409514707
2020-01-02 07:00:00,328.4323130555556,320.5966430525204
2020-01-02 07:30:00,323.9452066666666,315.1383574203109
2020-01-02 08:00:00,319.4978266666667,312.14133270978056
2020-01-02 08:30:00,324.25054666666665,316.3049413441763
2020-01-02 09:00:00,320.6255875,312.2287453063835
2020-01-02 09:30:00,316.69007666666664,309.79312509283835
2020-01-02 10:00:00,316.74227013888895,308.5849531862654
2020-01-02 10:30:00,325.0325033333333,319.0453488752588
2020-01-02 11:00:00,340.372075,329.53129989517043
2020-01-02 11:30:00,342.7259366666667,328.7153331191251
2020-01-02 12:00:00,342.70854166666663,326.91525337828716
2020-01-02 12:30:00,344.92172,328.1230115571283
2020-01-02 13:00:00,348.3098919444444,328.0997256533059
2020-01-02 13:30:00,354.2290172222222,329.0959684857433
2020-01-02 14:00:00,356.6822538888889,333.0004887125231
2020-01-02 14:30:00,350.991145,329.4973214861513
2020-01-02 15:00:00,352.7451075000001,331.9618898751903
2020-01-02 15:30:00,350.5185475,329.51475965830696
2020-01-02 16:00:00,350.40444500000007,333.27217014240495
2020-01-02 16:30:00,350.5473266666667,332.57011479684087
2020-01-02 17:00:00,347.5186658333333,332.28028812233896
2020-01-02 17:30:00,353.43557833333335,332.75440260212963
2020-01-02 18:00:00,354.5790983333333,332.7259258577031
2020-01-02 18:30:00,348.6791758333333,329.3413364135769
2020-01-02 19:00:00,344.86794833333335,328.7235352059855
2020-01-02 19:30:00,352.84379999999993,329.72265659154
2020-01-02 20:00:00,342.9545600000001,324.58404829097265
2020-01-02 20:30:00,339.85781499999996,326.5772480174771
2020-01-02 21:00:00,348.52285666666666,333.74299430045363
2020-01-02 21:30:00,351.52113777777777,334.27915158323236
2020-01-02 22:00:00,361.41228944444447,337.0917872038569
2020-01-02 22:30:00,355.81951333333336,332.48327208406613
2020-01-02 23:00:00,364.9631929166667,335.9361424431017
2020-01-02 23:30:00,368.69022666666666,330.89466370829695
2020-01-03 00:00:00,373.0372391666667,331.87303837432086
2020-01-03 00:30:00,372.39080083333334,332.29432882804974
2020-01-03 01:00:00,376.9693297222222,335.9214031941172
2020-01-03 01:30:00,377.2410291666666,336.35186165974466
2020-01-03 02:00:00,380.50714416666665,337.8525398537931
2020-01-03 02:30:00,384.61715027777774,341.6986869931013
2020-01-03 03:00:00,387.7384055555556,345.9547161029268
2020-01-03 03:30:00,382.9059655555556,344.804911210131
2020-01-03 04:00:00,385.95496361111105,343.87699897582235
2020-01-03 04:30:00,386.33769,345.57422574593056
2020-01-03 05:00:00,383.61385249999995,345.95056895361387
2020-01-03 05:30:00,377.5078416666667,346.923866577471
2020-01-03 06:00:00,377.46007499999996,347.64306129497555
2020-01-03 06:30:00,372.5971858333333,341.62046932872903
2020-01-03 07:00:00,364.4444908333333,340.21218819346063
2020-01-03 07:30:00,358.5132833333333,338.86810311620013
2020-01-03 08:00:00,359.7561708333333,341.5211048307863
2020-01-03 08:30:00,345.43268000000006,335.6873600841556
2020-01-03 09:00:00,340.9423883333334,332.5612183867294
2020-01-03 09:30:00,339.1386433333333,331.94932266320467
2020-01-03 10:00:00,338.77253958333336,330.66368968422785
2020-01-03 10:30:00,346.5123980555556,338.13264919008196
2020-01-03 11:00:00,359.9466194444444,341.83389247407666
2020-01-03 11:30:00,371.3832277777778,345.9055646615807
2020-01-03 12:00:00,370.01440555555547,339.93992730692383
2020-01-03 12:30:00,358.384055,338.46933639964186
2020-01-03 13:00:00,356.7103308333333,338.36213418664664
2020-01-03 13:30:00,359.0403366666667,337.7002632007811
2020-01-03 14:00:00,357.21038500000003,339.3372669223174
2020-01-03 14:30:00,359.3211575,341.98741912680526
2020-01-03 15:00:00,356.59029333333336,340.3175371562458
2020-01-03 15:30:00,357.5409280555555,339.67297198303487
2020-01-03 16:00:00,354.96439027777774,337.5216719220203
2020-01-03 16:30:00,351.0880611111111,336.98444914229145
2020-01-03 17:00:00,350.4936258333334,336.0883095496634
2020-01-03 17:30:00,357.1314008333334,338.1053712620922
2020-01-03 18:00:00,353.1720652777778,336.5515993293005
2020-01-03 18:30:00,352.15467138888897,334.6506847304598
2020-01-03 19:00:00,363.19240972222224,342.9592285004003
2020-01-03 19:30:00,366.13958166666663,342.953458245863
2020-01-03 20:00:00,361.2235805555556,341.6977320509574
2020-01-03 20:30:00,364.65732944444443,342.32549900927324
2020-01-03 21:00:00,365.4889033333333,346.9764326237084
2020-01-03 21:30:00,369.6247733333334,353.70060770721756
2020-01-03 22:00:00,372.01373416666667,355.1249392926911
2020-01-03 22:30:00,371.9322366666667,352.74667344647963
2020-01-03 23:00:00,375.1389927777778,354.18284346670083
2020-01-03 23:30:00,373.4737608333333,350.19690422456273
2020-01-04 00:00:00,368.03661000000005,347.89022309694366
2020-01-04 00:30:00,370.748845,346.19627025567917
2020-01-04 01:00:00,379.5669838888889,347.45906051432326
2020-01-04 01:30:00,382.4285625,347.9039330075345
2020-01-04 02:00:00,381.1355183333333,346.8469318630209
2020-01-04 02:30:00,381.4205819444444,350.4618068680511
2020-01-04 03:00:00,380.39395583333334,351.3247199354871
2020-01-04 03:30:00,379.58402666666666,352.53508736570984
2020-01-04 04:00:00,376.16123,355.16579543725396
2020-01-04 04:30:00,371.7436725,353.62844681928686
2020-01-04 05:00:00,369.29152416666665,350.7175883483823
2020-01-04 05:30:00,365.80132333333336,348.15813661129255
2020-01-04 06:00:00,363.2363955555556,347.57938149029025
2020-01-04 06:30:00,359.24724416666663,345.60634828207725
2020-01-04 07:00:00,350.2622608333333,343.12792194183885
2020-01-04 07:30:00,344.07077166666664,335.41720044029495
2020-01-04 08:00:00,345.7965575,340.15063896262996
2020-01-04 08:30:00,347.4962080555556,340.20011919823145
2020-01-04 09:00:00,345.5198125,336.2600231765311
2020-01-04 09:30:00,348.36089916666674,342.5156503572942
2020-01-04 10:00:00,351.4877058333332,342.9711866445284
2020-01-04 10:30:00,350.1781925,340.6443908054885
2020-01-04 11:00:00,352.69650333333334,341.30165806384645
2020-01-04 11:30:00,353.5354033333333,342.8984396462084
2020-01-04 12:00:00,350.78267916666664,339.926371768759
2020-01-04 12:30:00,347.44611166666664,337.3772318067462
2020-01-04 13:00:00,346.6144591666666,336.8596259617003
2020-01-04 13:30:00,349.07953833333335,336.5493093820339
2020-01-04 14:00:00,351.56830666666673,337.62881445988785
2020-01-04 14:30:00,350.1980825,335.8683452830491
2020-01-04 15:00:00,347.7018475,332.1533907966329
2020-01-04 15:30:00,351.2789683333333,336.13958785584424
2020-01-04 16:00:00,350.86927916666673,335.2315931446538
2020-01-04 16:30:00,351.9660833333333,337.7056822254712
2020-01-04 17:00:00,351.7965866666666,339.92364779354085
2020-01-04 17:30:00,350.97362611111106,338.20649925935476
2020-01-04 18:00:00,348.2580225,337.31873031615936
2020-01-04 18:30:00,347.8890666666667,335.4274121452777
2020-01-04 19:00:00,344.0473075,336.3179606087893
2020-01-04 19:30:00,341.1950633333334,332.2816900008134
2020-01-04 20:00:00,352.93550583333337,336.0913519153185
2020-01-04 20:30:00,354.6461591666666,336.42447205856797
2020-01-04 21:00:00,353.6572966666666,336.85795778878304
2020-01-04 21:30:00,357.0262125,337.54291953016894
2020-01-04 22:00:00,355.1758922222222,337.1986835447852
2020-01-04 22:30:00,356.7912558333333,338.36390629605086
2020-01-04 23:00:00,357.795255,340.08823053417535
2020-01-04 23:30:00,360.0030575,341.70505084813266
2020-01-05 00:00:00,359.29286,337.79062354663466
